message,type,overperforming,url,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,word_count,total_interactions,likes,comments,shares,love,wow,haha,sad,angry,care
"Dear Rocket Nation, As we get closer to our September 7th start date for the 2021-2022 school year, I would like to address a couple of HOT TOPIC issues with you! The first one deals with Masks. Conotton Valley School will not be mandating the wearing of masks. However, we will certainly welcome any student or staff to wear one if they choose. We will maintain our heightened sanitization and hand-washing protocols. Additionally, the Board of Education has purchased air purifiers for every classroom. We will continue to collaborate with the Carroll County Health Department to monitor any outbreaks. Let me assure you that your child’s safety is a priority, and we will do everything possible to provide a clean and safe atmosphere for the educational process to take place. Unless we are required to alter this plan by law, or the Ohio Department of Education, this will be our approach. The second topic is The Critical Race Theory. There is growing debate and controversy centering around the teaching of Critical Race Theory in America’s public schools. Conotton Valley Union Local School District is for ALL students and families, period. As we enter our sixth year of “Leader in Me,” the staff embeds the 7 habits and our Core Values of Honesty, Self-Discipline, Equity, Passion, Growth Mindset, Collaboration, Perseverance, and Responsibility into our daily instruction. We teach Ohio’s learning standards for each grade level and content area. We carefully select curriculum materials and resources to support learning and cause students to process information, engage in thoughtful discussion/debate and think critically for themselves. We empower teachers to utilize evidence-based instructional strategies to create optimum learning opportunities for all students. We create a welcoming, safe, and positive environment for all students, staff, and guests. We treat students and each other with dignity, respect, and kindness. CRT is not part of our curriculum and will not be instructed. Conotton Valley Union Local School District is always prepared for students to question and discuss current events openly and thoughtfully. “We are in control of our mission.” Todd Herman, Superintendent",Status,4.49,https://www.facebook.com/825517197503949/posts/4012584802130490/,3,12,1,2,11,4,37,1,2,30,350,166,87,15,49,14,0,0,0,0,1
"From HCSD Communications: SETTING THE RECORD STRAIGHT Last evening, several members of the public attended the School Board meeting and requested time to address the Board and Superintendent on the topic of Critical Race Theory. While NO schools in the Hernando School District teach Critical Race Theory, misinformation and unfounded claims on the topic continue to create concern. We encourage parents and members of the community to watch this clip of Superintendent Stratton addressing the comments made during the Public Comment portion of the meeting. https://youtu.be/J2CaQXSpOe0:=:https://www.youtube.com/watch?v=J2CaQXSpOe0&feature=youtu.be Thank you.",YouTube,4.31,https://www.facebook.com/299729913567110/posts/1656146477925440/,0,10,0,2,3,0,8,0,1,7,97,194,80,28,45,39,0,2,0,0,0
"It’s hard to believe that it’s already eight weeks into the school year. While we hoped that this year would allow for a return to normal, that has unfortunately not been the case. The pandemic continues to challenge school districts with positive cases, contract tracing, and quarantine protocols. Schools around the country are also coping with a sharp increase in mental health concerns as well as teacher and staffing shortages. As the school year progresses, it has become clear that many students are struggling nationwide. The crisis in mental health has been growing for years, but the pandemic has accelerated it. Students are facing a number of challenges that are affecting their mental health, including feelings of isolation and anxiety, substance and alcohol use, and the unexpected deaths of loved ones from COVID-19. In response to this, our district has not only expanded our partnership with River Valley Counseling Center, but we have also added eight School Adjustment Counselor positions across our schools to help meet the needs of our students. We know that if our students are not in a healthy mental state, that they cannot adequately access our curriculum, which directly affects student achievement. The COVID pandemic has triggered a spike in teacher retirements and resignations. In addition to teacher vacancies, schools around the country are facing food supply shortages, and struggle to find enough bus drivers, paraprofessionals, custodians and cafeteria workers. Many districts also face shortages of substitute teachers, who are needed now more than ever to cover for teachers who are out sick or quarantined. Some schools have closed when too many positions could not be filled, while others grapple with higher than normal unfilled positions, leaving remaining staff overworked. The lack of qualified teachers in the US has worsened during the pandemic. Difficulties filling teacher openings continue to affect schools across the country. In South Dakota, one district started the school year with 120 teacher vacancies. In Texas, districts in Houston, Waco and other neighborhoods reported teacher vacancies in the hundreds as the school year began. Florida is short over 5000 teachers across the state. Our district still has over a dozen critical positions to fill and it’s already the middle of October. The teacher shortage didn't start with COVID-19. Educators have been leaving the profession for years for a variety of reasons, and the pandemic only exacerbated the situation. According to a June survey of 2,690 members of the National Education Association, 32% said the pandemic was likely to make them leave the profession earlier than expected. Over the last 18 months, teacher workloads have increased considerably along with stress levels. In May, a survey by the CDC Foundation reported that 27% of teachers reported depression and 37% reported anxiety. Further complicating the staff shortages is the fact that fewer students are majoring in education at college and universities. With election season upon us, it is my hope that candidates running for public office realize the actual issues facing our school system. As a community, we need to collaborate to solve the ongoing mental health crisis and lack of qualified school staffing. Schools nationwide have had to shut down classrooms because there just aren’t enough teachers. While this has not happened in Westfield yet, that day may come. Critics focusing on standardized test scores and outdated accountability data during a global pandemic is not helpful. Debating about masks or the myth that Critical Race Theory is being taught in our schools is equally nonproductive. If we truly hope to work together to create an environment where children can learn and thrive and be surrounded by positive role models and examples in their community, we need to acknowledge that our world is hurting, traumatized, and in need of healing. We also need to celebrate the good work that our educators, administrators, support staff and families do every day caring for our children.",Photo,3.78,https://www.facebook.com/546866082025395/posts/4707383669306928/,6,14,1,17,9,25,38,18,5,37,649,102,45,13,17,25,0,0,0,0,2
The Vail School District strictly follows the Arizona State Standards and adheres to the tried and true teaching methods that have led us to become one of the top performing school districts in Arizona. Critical Race Theory has recently become a hot topic around education. No member of the VUSD Governing Board or administration have recommended using CRT or any other alternate method of instruction in our schools – and there is no intent to do so in the future. Vail's instructional model works – and has proven to provide our students with the strongest possible foundation to be successful after high school.,Photo,3.6,https://www.facebook.com/260938799131/posts/10158678253189132/,1,4,0,0,2,0,7,0,0,10,101,295,143,56,35,56,0,0,2,2,1
"Good morning Ephrata Families. Please take a moment to head to the Ephrata School District website and read the latest message from Superintendent Payne. In it, he addresses questions facing the District, like face coverings, sexual health and critical race theory. https://www.ephrataschools.org/cms/One.aspx?portalId=151973&pageId=30615314",Photo,3.23,https://www.facebook.com/112650217172425/posts/356306096140168/,0,3,0,0,1,0,2,0,1,3,49,142,77,0,52,12,0,1,0,0,0
"The District 49 Board of Education voted 3-2 on Thursday approving a revised version of a resolution addressing Critical Race Theory and its inclusion in D49 classrooms. The resolution declares the district’s official opposition to principles of CRT. Highlights of the resolution include the following: D49 will not use principles of Critical Race Theory (as described below) as a curriculum for classroom instruction. With this statement, D49 reiterates that: ~ Neither schools, nor instructors, shall assign individuals or groups of students to participate in class or complete assignments based on their racial identity. ~ Schools shall not engage in racial bias or stereotyping. District leaders and staff shall not promote the following principles associated with Critical Race Theory in D49’s classroom curricula: ~ Race Essentialism: The assertion that race is the most important identity ~ Collectivism: The assertion that group identity is more important than individual identity ~ Accusatory characterization of individuals as oppressor or oppressed according to their race The resolution affirms D49’s commitment and expectation that teachers will rely on the Colorado Academic Standards as the authoritative source for the content of instruction on U.S. history and other social sciences. Video from the BOE meeting https://youtu.be/tIJCi2hKKr0?t=4560:=:https://www.youtube.com/watch?t=4560&v=tIJCi2hKKr0&feature=youtu.be 1:16:00 Open Forum Public Remarks 1:48:20 BOE Remarks 2:02:30 D49 Chief Officer Remarks 2:13:48 BOE President Remarks 2:17:50 BOE Vote PDF Version of the Resolution https://go.boarddocs.com/co/d49/Board.nsf/files/C5JNCP5F43D6/$file/CRT%20Resolution%20Simplified%20dtd%202021-0802%20v2.pdf",YouTube,3.22,https://www.facebook.com/141517542533343/posts/4438843109467410/,4,8,0,2,2,4,16,2,1,16,260,161,80,44,7,23,0,0,1,6,0
"NORTH LAMAR ISD STATEMENT REGARDING CRITICAL RACE THEORY Dated: August 10, 2021 Considering HB 3979 passed in the recent Texas legislative session, people across the state, including the North Lamar ISD community, are asking questions about critical race theory (CRT) and whether the theory is taught in public schools. CRT is not taught at North Lamar ISD. CRT is not a part of the social studies curriculum in Texas. The state’s social studies curriculum can be found at the following link: Texas Essential Knowledge and Skills (TEKS) https://tea.texas.gov/academics/curriculum-standards/teks/texas-essential-knowledge-and-skills . While North Lamar ISD serves a diverse community and values the thoughts, beliefs, perspectives, and experiences of all our students and staff, the curriculum for all school districts must be adopted by the Texas State Board of Education. North Lamar ISD’s curriculum follows the TEKS and CRT is not included in the District’s curriculum. Kelli Stewart, Superintendent North Lamar Independent School District",Link,3.16,https://www.facebook.com/565382070246090/posts/4110484175735844/,0,5,0,0,1,1,13,0,0,9,160,60,38,9,12,1,0,0,0,0,0
NA,Link,2.96,https://www.facebook.com/104070680303598/posts/773299960047330/,0,0,0,0,0,0,0,0,0,0,1,68,29,0,20,18,0,0,0,0,1
"There is a lot of discussion surrounding CRT, DEI and Comprehensive Sexual Ed. happening nationally and in our own community. To help keep families informed and to dispel any misinformation about these topics as it relates to our district we've created an informational website that outlines what is and isn't happening in our schools. https://www.wenatcheeschools.org/news/1715707/critical-race-theory-d-e-i-and-sexual-health-ed-information",Link,2.81,https://www.facebook.com/125750924103694/posts/4551573074854768/,0,1,0,0,0,1,4,1,0,1,69,73,53,2,17,0,0,0,0,0,1
"Board of Education Regular Meeting Thursday, Aug. 12 Fantastic 49 at 6:00 p.m. Meeting begins at 6:30 p.m. TOPICS: Critical Race Theory, Possible MLO Ballot Measure, Operations Updates. More information, agenda and livestream at www.d49.org/BOE:=:https://www.d49.org/BOE",Photo,2.48,https://www.facebook.com/141517542533343/posts/4425776447440743/,0,3,0,0,0,0,2,0,0,3,43,134,19,97,17,0,0,0,0,0,1
"Union Public Schools adopts diversity, equity and inclusion policy Citing increasing diversity among the student body, Union Public Schools’ Board of Education unanimously adopted a new district-wide diversity, equity and inclusion policy Monday night. As approved, the new policy states that the district appreciates diversity of thought, values, perspectives and personhood and is “committed to procedures intended to support a diverse and equitable school community in an inclusive manner.” While presenting it to the school board Monday night, Superintendent Kirt Hartzler said the new policy is not an attempt to subvert state laws or introduce critical race theory into the classroom but is instead an affirmation of the district’s core values. “I don’t know why we wouldn’t want to consider this,” he said, noting that more than 60 languages are spoken by Union students. Continue: https://tulsaworld.com/news/local/education/union-public-schools-adopts-diversity-equity-and-inclusion-policy/article_09cd47a2-5c31-11ec-99cd-77a6acf22eca.html",Link,2.44,https://www.facebook.com/177939366689/posts/10159368295096690/,0,10,1,1,0,2,14,1,0,13,155,127,64,8,3,49,0,0,0,2,1
KNOW THE FACTS: There is misinformation being shared across our district. Don't forget that early voting ends next Tuesday! Stop by the Magnolia Event Center and let your voice be heard in this School Board election.,Photo,2.35,https://www.facebook.com/741760999190933/posts/4240504295983235/,0,1,0,0,0,1,2,0,0,3,36,129,61,23,33,10,0,1,0,0,1
"SMSD Mr. Estep Letter to the SMSD Community November 8, 2021 Dear SMSD Community, On September 13, I stepped into the role of serving as SMSD’s Superintendent of Schools. I’m very happy to be here and believe my extensive leadership experience, which stretches back nearly 28 years, will be of real assistance in tackling some of the district’s systems issues which require immediate attention. I have spent the better portion of my first seven weeks trying to fill key leadership positions which were vacated this past spring and summer. Bit by bit, a new leadership team has been onboarding over the last month and our team is now fully intact. This was the first priority to tackle upon my entry, and I’m very pleased with the quality of candidates we have managed to bring into our learning community. During my short time here, we have found some specific operational systems utilized in business, payroll and human resources in recent years have either been inadequate, lacking appropriate checks and balances, or simply not following best practices for a nearly $40 million organization. To this end, I have spent a great deal of time digging deeper into how and why these systems were either not set up and administered properly, or fixing mistakes generated by a lack of a strategic approach to operations. This is all fixable, but it requires an initial investment of time, during which our new leadership team will thoroughly review files and systems, address and correct errors, and establish clear, redundant protocols and feedback loops for payroll, business and HR operations to run smoothly moving forward. Since my arrival, I have met with various staff members, become acquainted with the people with whom I’m working and have gotten to know the board. Because we have needed to onboard so many new people, I’m also spending time either directly mentoring individuals or reaching out to experienced individuals in neighboring districts or school support organizations to assist in advising some of our new hires. At recent board meetings, I’ve referred to this as triage work and I’ve advised the board that most of my first nine to 10 months on the job will center on this. I have also been asked to recruit someone into the district whom I can mentor to replace me at the end of the 2022-2023 school year, as I prepare to retire. I know some community members are concerned about whether the district intends to revisit the diversity and equity initiative which began last school year. Concerns were raised at a recent board meeting that the district had spent some $500,000 on diversity and equity curriculum and resources. Let me be clear: that DID NOT happen. Someone must have either been confused about a budget discussion on overall K-12 curriculum and professional development and textbook purchasing, or had their own agenda and spread false information. The bottom line is that SMSD has not expended $500,000 on diversity and equity initiatives. Regarding my stance on the formal JEDI initiative that began last school year, and was apparently tabled in the spring or early summer prior to my arrival, I ask that everyone refers to the priorities I’ve discussed in the first three paragraphs of this letter. In the immediate future, my focus is on fixing fundamental operations, preparing to develop a budget for next fiscal year, helping the district find its next superintendent, and working with my new leadership team to prioritize areas in need of immediate correction and fix them. After that, we will develop and implement long-term practices to ensure those areas function properly, well into the future. These areas of priority will occupy almost all of my time and the time of my core leadership team for the remainder of this school year. Finally, regarding curriculum content: public schools are governed by Chapter 4 of the PA School Code of 1949. Over the years, there have been periodic updates to Chapter 4, which outlines what must be included in district curricular content. I have been a superintendent for nearly 18 years, and at no time during that span do I recall any update to Chapter 4 requiring public schools to teach Critical Race Theory as part of our curriculum—though for many, many years, there have been historical references in our guidelines for including discussion and analysis of domestic unrest, and racial and ethnic tension. If CRT had been mandated, every superintendent and curriculum director in the state would have received formal notification of this change—that has not happened, nor is it ever likely to happen. Unfortunately, social media, media punditry and rabid politics have enabled susceptible individuals to be duped into linking any attempt to address concepts like diversity, racial bigotry, marginalization, or inequitable treatment of sub-groups to the so-called culture wars and government indoctrination of children. Here is a link to Chapter 4 on the PA Department of Education website: (truncated)",Link,2.12,https://www.facebook.com/554909947987311/posts/2591667840978168/,5,31,2,6,11,14,53,5,5,37,826,142,89,19,15,17,0,0,0,2,0
"Assistant Superintendent Iton Udosenata spoke with KGW-TV about the teaching of critical race theory. “What we really try to do is celebrate race and ethnic diversity within our schools,” Udosenata said. Learn more: https://www.kgw.com/article/news/education/salem-keizer-race-diversity/283-af34eb62-dc83-48b8-9a72-ae3b7188bdef?utm_campaign=snd-autopilot",Link,2.09,https://www.facebook.com/60676476121/posts/10159937146166122/,0,1,0,0,0,1,1,0,0,1,52,92,54,12,7,13,2,0,1,3,0
"Recently, there have been questions regarding the district's curriculum and standards. We would like to reassure everyone that our district has an open-door to any and all curriculum and instruction related questions. Our building principals and central office leaders are always willing to meet and review our curriculum and instructional material. We welcome the input of our community and value your feedback. Please know that our teaching teams work tirelessly to develop high quality learning experiences for all of our students. With this in mind, we would also like to share the following: 1. All of our curriculum is based on the Missouri Learning Standards provided by the Department of Education (DESE). 2. Neither the Missouri Learning Standards or our curriculum address Critical Race Theory (CRT) or the 1619 Project. Additionally, we have also had questions about the district's Leader in Me program. Leader in Me is based on the book, The 7 Habits of Highly Effective People. This program works to promote leadership and life skills in our students and was started here in 2016. The district researched this program extensively prior to implementation and believes strongly in developing the character and academic skills of all of our students. There is no evidence of CRT in the program. Character education has long been a priority of the Marshfield School District.",Status,2.05,https://www.facebook.com/245937932251091/posts/2129192957258903/,0,4,0,0,1,0,14,0,0,10,222,152,102,4,25,21,0,0,0,0,0
NA,Link,2.04,https://www.facebook.com/191856137544050/posts/4310951968967759/,0,0,0,0,0,0,0,0,0,0,1,100,35,38,20,7,0,0,0,0,0
"To: All Republic County USD 109 Patrons Date: August 2, 2021 Re: Response to Critical Race Theory The subject of critical race theory has been dominating the media and social media headlines lately. Just as we teach our students to be judicious consumers of information, we encourage all patrons to educate themselves on what critical race theory (CRT) truly is and what it is not. Critical race theory is not part of the Kansas State Department of Education, nor Republic County USD 109’s academic standards that we teach in our classrooms. Our curriculum is aligned with the Kansas State Department of Education’s academic standards that can be found at www.ksde.org.:=:https://www.ksde.org/ Republic County USD 109 is a learning community dedicated to and continues to ensure educational practices and excellence so that all students achieve at high levels and graduate prepared for success in college, careers and live in a rapidly changing world. Republic County USD 109 will continue to teach the exact same academic standards as the district has been teaching in our classrooms. Educationally, Larry Lyder Superintendent",Status,2.04,https://www.facebook.com/376243892568133/posts/1756118197914022/,0,7,1,0,8,5,20,0,3,22,180,47,41,0,5,1,0,0,0,0,0
"To discourage rumors and correct misunderstandings, EASD has published more detailed information on Monday evening's Leader In Me Equity In Education Parent/Guardian Night. Parents and guardians are critical stakeholders in our education system. As such, the Equity In Education program is for the adults connected to our students and is designed to equip you with information to help build student leadership capacity. The Leader In Me Equity In Education program is neither a curriculum for students nor is it Critical Race Theory. For clarification purposes, Critical Race Theory IS NOT taught in our schools K-12. Instead, the purpose of the Equity in Education program is to ensure our schools feel safe and are conducive to learning for every student. Read more at ⬇️ https://tinyurl.com/442u9nhu:=:https://www.etownschools.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=18544&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=35330&PageID=1",Photo,2.02,https://www.facebook.com/137748559605428/posts/4267988433248066/,0,2,0,1,1,1,13,1,0,8,149,87,40,29,8,7,0,0,2,1,0
