Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Farmington Municipal Schools,FMSNM,2.3405E+14,PUBLIC_SCHOOL,US,"Public K-12 school district located in the beautiful Four Corners region of the American Southwest.  Farmington, NM",6/7/12 18:35,9542,10038,2021-09-08 17:20:39 EDT,9/8/21,17:20:39,Status,450,214,74,77,73,1,1,1,3,6,,-,0,0,0,N/A,https://www.facebook.com/234050013364205/posts/3640499356052570,"From Superintendent Dr. Eugene Schmidt – Farmington Municipal Schools (FMS) is aware of the conversations at the federal, state and local level about Critical Race Theory (CRT). FMS does not provide instruction on Critical Race Theory and the School Board does not intend to bring forth any action to introduce CRT to our schools. Read more: https://bit.ly/3DVhvKd:=:https://district.fms.k12.nm.us/about_us/news/superintendent_messages",,,,,,,,,6.43
Insight School of Oklahoma,InsightOklahoma,1.42438E+15,HIGH_SCHOOL,US,"At Insight School of Oklahoma, we work with students and their families in grades 6–12 to help them overcome obstacles with a unique and highly supportive approach. 
",4/14/14 16:35,687,718,2021-09-08 13:02:33 EDT,9/8/21,13:02:33,Native Video,2,2,0,0,0,0,0,0,0,0,owned,Yes,20,20,0,0:00:59,https://www.facebook.com/1424378747816742/posts/2990317434556191,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/InsightOklahoma/videos/224125262904458/,,,,,,,,-0.5
iQ Academy California- LA a networK12 school,iQCalifornia,3.597E+14,SCHOOL,,"iQCA-LA uses the K¹² curriculum to offer CA students in grades K-12 an exceptional learning experience. Learn more at http://losangeles.iqacademyca.com/. 
",4/30/12 20:52,501,586,2021-09-08 13:02:29 EDT,9/8/21,13:02:29,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,10,10,0,0:00:59,https://www.facebook.com/359700374086300/posts/4444773642245599,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/iQCalifornia/videos/1855971264584180/,,,,,,,,-16
California Virtual Academies,CaliforniaVirtualAcademies,1.21953E+14,PUBLIC_SCHOOL,US,"The California Virtual Academies are a network of 9 full-time, tuition-free, online public schools for grades TK-12. Learn more at cava.k12.com. Alumni click here: http://ow.ly/rI4t50FcWx0",4/29/10 5:36,8396,8064,2021-09-08 13:02:25 EDT,9/8/21,13:02:25,Native Video,4,1,0,0,3,0,0,0,0,0,owned,Yes,120,120,0,0:00:59,https://www.facebook.com/121952847822009/posts/5127400177277226,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/CaliforniaVirtualAcademies/videos/188222883379889/,,,,,,,,-0.69
Louisiana Virtual Charter Academy at K12,LouisianaVirtualCharterAcademy,1.58179E+14,HIGH_SCHOOL,US,"The Louisiana Virtual Charter Academy is a full-time, tuition-free, online public charter school for grades K-12. Learn more at lavca.k12.com/. 
",6/27/11 14:54,4386,4472,2021-09-08 13:02:22 EDT,9/8/21,13:02:22,Native Video,3,0,2,1,0,0,0,0,0,0,owned,Yes,120,120,0,0:00:59,https://www.facebook.com/158178810919178/posts/6043190589084608,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/LouisianaVirtualCharterAcademy/videos/272029051428977/,,,,,,,,-0.57
Arizona Virtual Academy (AZVA) K¹²,ArizonaVirtualAcademy,1.81851E+14,ELEMENTARY_SCHOOL,,"Arizona Virtual Academy is an AdvancED accredited school that empowers students with a personalized educational experience. It serves students in grades K-12 at all academic levels from students below, at or above current grade level. ",1/13/11 21:35,4255,4269,2021-09-08 13:02:21 EDT,9/8/21,13:02:21,Native Video,1,1,0,0,0,0,0,0,0,0,owned,Yes,53,53,0,0:00:59,https://www.facebook.com/181850941835932/posts/4587888521232130,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/ArizonaVirtualAcademy/videos/315531536991111/,,,,,,,,-0.86
Tennessee Virtual Academy at K12,TennesseeVirtualAcademy,2.46431E+14,EDUCATION_COMPANY,,"The Tennessee Virtual Academy is a full-time, tuition-free, online public school for grades K-8. Learn more at http://tnva.k12.com/.  
",7/6/11 19:58,4380,4356,2021-09-08 13:02:18 EDT,9/8/21,13:02:18,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,55,55,0,0:00:59,https://www.facebook.com/246431088701835/posts/4767306606614238,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/TennesseeVirtualAcademy/videos/1603475910043900/,,,,,,,,-14
Insight School of Minnesota a networK12 school,InsightMinnesota,3.30661E+14,MIDDLE_SCHOOL,,"Insight School of Minnesota, an online program of the Brooklyn Center Community School District, offers a high level of personalized academic, social, and emotional support to students in grades 6-12. 
",4/30/12 19:39,505,573,2021-09-08 13:02:17 EDT,9/8/21,13:02:17,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,10,10,0,0:00:59,https://www.facebook.com/330661150337618/posts/6187304994673175,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/InsightMinnesota/videos/1002029847287073/,,,,,,,,-4
Wisconsin Virtual Academy at K12,WisconsinVirtual,2.01147E+14,SCHOOL,,"The Wisconsin Virtual Academy is a full-time, tuition-free, online public school for grades K-12. Learn more at http://wiva.k12.com.  
",4/23/12 19:27,2178,2270,2021-09-08 13:02:16 EDT,9/8/21,13:02:16,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,57,57,0,0:00:59,https://www.facebook.com/201147210002300/posts/4216027388514242,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/WisconsinVirtual/videos/513752373296210/,,,,,,,,-12
Ohio Virtual Academy,Ohio.Virtual.Academy,1.44264E+14,PUBLIC_SCHOOL,US,Ohio Virtual Academy is a public online school serving students in grades K-12 residing in Ohio. Alumni click here: http://ow.ly/rI4t50FcWx0,8/7/10 12:40,14340,13625,2021-09-08 13:02:14 EDT,9/8/21,13:02:14,Native Video,1,1,0,0,0,0,0,0,0,0,owned,Yes,143,143,0,0:00:59,https://www.facebook.com/144263858934453/posts/4931251780235613,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/Ohio.Virtual.Academy/videos/867841817237695/,,,,,,,,-0.88
Colorado Preparatory Academy,ColoradoPreparatoryAcademy,1.72737E+14,PUBLIC_SCHOOL,US,"The Colorado Preparatory Academy is a full-time, tuition-free, online public school for grades K-12. Learn more at cpa.k12.com",7/2/13 18:13,1460,1495,2021-09-08 13:02:13 EDT,9/8/21,13:02:13,Native Video,1,1,0,0,0,0,0,0,0,0,owned,Yes,41,41,0,0:00:59,https://www.facebook.com/172736759570993/posts/1962077927303525,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/ColoradoPreparatoryAcademy/videos/378684753723538/,,,,,,,,-0.88
Maine Virtual Academy,MEVAK12,1.50428E+15,SCHOOL,,"The Maine Virtual Academy is a full-time, tuition-free, online public school for grades 7-12. Learn more at http://meva.k12.com/",12/23/14 19:17,N/A,N/A,2021-09-08 13:02:09 EDT,9/8/21,13:02:09,Native Video,1,1,0,0,0,0,0,0,0,0,owned,Yes,31,31,0,0:00:59,https://www.facebook.com/1504281553188691/posts/3025880021028829,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/MEVAK12/videos/935242270389071/,,,,,,,,0
Highpoint Virtual Academy of Michigan,HighpointVirtual,5.99838E+14,SCHOOL,,"Highpoint Virtual Academy of Michigan (HVAM), an online public school authorized by the Mesick Consolidated Schools serves grades K-12. 
",5/16/16 14:18,832,879,2021-09-08 13:02:08 EDT,9/8/21,13:02:08,Native Video,1,1,0,0,0,0,0,0,0,0,owned,Yes,29,29,0,0:00:59,https://www.facebook.com/599838323512226/posts/1985120034984041,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/HighpointVirtual/videos/440240520661499/,,,,,,,,-0.83
North Carolina Virtual Academy,NorthCarolinaVirtualAcademy,1.57812E+15,SCHOOL,US,"The North Carolina Virtual Academy is a full-time, tuition-free, online public charter school for grades K-11. Learn more at http://.ncva.k12.com",2/2/15 17:03,4665,4789,2021-09-08 13:02:07 EDT,9/8/21,13:02:07,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,76,76,0,0:00:59,https://www.facebook.com/1578119622427297/posts/3004021203170458,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/NorthCarolinaVirtualAcademy/videos/606274057201725/,,,,,,,,-16
Michigan Virtual Charter Academy at K12,MichiganVirtualCharterAcademy,3.54792E+14,HIGH_SCHOOL,,"Michigan Virtual Charter Academy is dedicated to providing an enriching learning experience tailored to each student's needs. The school encourages a collaborative partnership between teachers, staff, families, and students. ",4/30/12 20:49,2734,2785,2021-09-08 13:02:05 EDT,9/8/21,13:02:05,Native Video,2,2,0,0,0,0,0,0,0,0,owned,Yes,39,39,0,0:00:59,https://www.facebook.com/354791804578230/posts/4484771821580187,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/MichiganVirtualCharterAcademy/videos/175045391313646/,,,,,,,,-0.75
Utah Virtual Academy,UtahVirtualAcademy,70669282448,SCHOOL,US,"The Utah Virtual Academy is a full-time, tuition-free, online public school for grades K-12. Learn more at utva.k12.com. Alumni click here: http://ow.ly/rI4t50FcWx0 ",3/22/09 3:56,1576,1590,2021-09-08 13:02:02 EDT,9/8/21,13:02:02,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,23,23,0,0:00:59,https://www.facebook.com/70669282448/posts/10158697168387449,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/UtahVirtualAcademy/videos/894102894860877/,,,,,,,,-8
Oklahoma Virtual Charter Academy at K12,OklahomaVirtualCharterAcademy,1.83129E+14,MIDDLE_SCHOOL,US,Oklahoma Virtual Charter Academy (OVCA) is a K-12 public charter school authorized by the Statewide Virtual Charter School Board. OVCA gives you and your family choice and flexibility in your child's education. ,7/8/11 19:23,3263,3281,2021-09-08 13:02:01 EDT,9/8/21,13:02:01,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,28,28,0,0:00:59,https://www.facebook.com/183129095080644/posts/4441138629279648,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/OklahomaVirtualCharterAcademy/videos/2927988057528963/,,,,,,,,-10
Arkansas Virtual Academy at K12,ArkansasVirtualAcademy,2.05739E+14,PUBLIC_SCHOOL,US,"ARVA is a full-time, online, public, charter school in Arkansas. We serve grades K-12. Our goals is to provide the world-class K-12 curriculum for our students. Visit http://www.k12.com/ for more information. Alumni click here: http://ow.ly/rI4t50FcWx0",4/26/11 16:55,4310,4358,2021-09-08 13:02:00 EDT,9/8/21,13:02:00,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,60,60,0,0:00:59,https://www.facebook.com/205738772791463/posts/4661354833896479,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/ArkansasVirtualAcademy/videos/621842905470618/,,,,,,,,-14
Idaho Virtual Academy at K12,IdahoVirtualAcademy,1.26657E+14,ELEMENTARY_SCHOOL,US,"Idaho Virtual Academy and K12 ignite the minds of children to bring learning and innate possibility alive. Together, we are helping Idaho students in grades K–12 reach their true, personal potential. 
",4/26/11 15:48,2250,2361,2021-09-08 13:01:59 EDT,9/8/21,13:01:59,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,32,32,0,0:00:59,https://www.facebook.com/126656534077547/posts/4341330999276725,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/IdahoVirtualAcademy/videos/458089558598163/,,,,,,,,-12
Pikes Peak Online School,PikesPeakOnlineSchool,4.99425E+14,PUBLIC_SCHOOL,,"Pikes Peak Online School is a full-time, tuition-free, online public school for grades 9-12. Learn more at www.ppos.k12.com. 
",3/20/15 18:31,283,321,2021-09-08 13:01:58 EDT,9/8/21,13:01:58,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,5,5,0,0:00:59,https://www.facebook.com/499425193538705/posts/2089118204569388,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/PikesPeakOnlineSchool/videos/180729607437234/,,,,,,,,-6
Michigan Great Lakes Virtual Academy,MichiganGreatLakesVA,1.82251E+14,HIGH_SCHOOL,,Michigan Great Lakes Virtual Academy (MGLVA) is a full-time online public school for K–12 students. We're dedicated to inspiring and empowering students through an education experience tailored for each child. Alumni click here: http://ow.ly/rI4t50F,10/11/13 14:39,1840,1866,2021-09-08 13:01:57 EDT,9/8/21,13:01:57,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,43,43,0,0:00:59,https://www.facebook.com/182251211962860/posts/1763766280478004,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/MichiganGreatLakesVA/videos/552051649182009/,,,,,,,,-14
Insight Academy of Arizona a NetworK12 School,InsightArizona,6.137E+14,PUBLIC_SCHOOL,,"The Insight Academy of Arizona is a full-time, tuition-free, online public school for grades 7-12. Learn more at http://az.insightschools.net. Alumni click here: http://ow.ly/rI4t50FcWx0",2/5/14 21:55,N/A,N/A,2021-09-08 13:01:52 EDT,9/8/21,13:01:52,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,9,9,0,0:00:59,https://www.facebook.com/613700125351937/posts/4320116921376887,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/InsightArizona/videos/817196628854254/,,,,,,,,-2
Destinations Career Academy of Wisconsin,DestinationsCareerAcademyofWisconsin,1.21541E+15,SCHOOL,,"A tuition free, online public school, Destinations provides the structure, support, and accountability your student needs to succeed. Alumni click here: http://ow.ly/rI4t50FcWx0",1/8/16 18:39,303,338,2021-09-08 13:01:48 EDT,9/8/21,13:01:48,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,6,6,0,0:00:59,https://www.facebook.com/1215409765139485/posts/6580285315318543,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/DestinationsCareerAcademyofWisconsin/videos/387808219508422/,,,,,,,,-2
Stark County CUSD 100,SCCUSD100,3.22677E+14,PUBLIC_SCHOOL,US,Stark County CUSD #100 is consolidation of the former Unit District of Toulon/LaFayette and the former High School and Elementary Districts of Wyoming.,10/13/16 17:49,2148,2421,2021-09-03 17:15:44 EDT,9/3/21,17:15:44,Link,6,4,1,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/322676618110440/posts/1498302857214471,"Check out our Weekly Parent Update from Mr. Elliott #leveluprebelup #PrideandExcellence Good afternoon Rebels, This is your proud Superintendent, Mr. Elliott, with your weekly update for Friday September 3, 2021. Congratulations: Congratulations the Stark County Board of Education who has been selected for the 2021 IASB School Governance Recognition for Excellence in School Board Leadership. The SC Board of Education will be honored later this fall. We want to thank the current and former board leadership for the great accomplishment: Ann Orwig, Bruce West, Brian Rewerts, Dave Steward, Beth Rumbold, Matthew Nagode, Emily Holman and Erin Price. Sex Education and Critical Race Theory Legislation: In regards to recent Illinois Legislation for Sex Education Curriculum and political topic of the Critical Race theory, here is an update in regards to Stark County: 1) New Sex Education: Per the new legislation and ROE, the sex education changes are ONLY for school boards who want to opt into the new expanded curriculum. A school board may choose to stay with our current sex education curriculum. Currently, Stark County Board of Education will not pursue any sex education curriculum changes. 2). The Critical Race Theory is a post graduate level study, not mandated curriculum, that was created at Harvard University. With that stated, the most recent Illinois social studies/history legislation is an “opts school boards can create new courses that focus on Black Lives Matter, Black History, etc. The only requirement curriculum change is to ensure a level Asian American History is taught, which is already in our textbooks/curriculum. Parking: With feedback from the community, we will continue the tradition of allowing parking at home football games at Gary Johnson field. We ask that you enter by 6:30 pm to avoid traffic inside the gates for safety reasons and also allow all foot traffic to exit the stadium before moving your vehicles. Due to a water line repair, all spectators for tonight’s game will enter and pay at the north or south gate. The new middle gate is currently closed. COVID-19 Protocols and On-Site Testing: A reminder to view our COVID-19 protocols for contact tracing and quarantine/isolation posted on our website @stark100. We remind you that options 2-4 are only available if you follow the health departments guidelines of daily check-ins via text or app once placed into COVID isolation or healthy Quarantine. If these daily contacts with the Health Department are not made the time out of school will be 14 days. We are also offering on-site Binax-NOW rapid testing to staff and students in our nurses’ offices if you have a parent consent form on file and opt into Option 4, “Test to Stay” Protocols. Please contact your school for any questions. https://drive.google.com/file/d/11-dWmZiHll-pgfjFpHjZARrI7E7VR67n/view?usp=sharing SC Sportsmanship: As we enter the new year and full athletics seasons, we remind you that here at Stark County we take great pride in representing our schools and communities with good sportsmanship. Please avoid yelling or criticizing players, coaches, officials or programs during games and practices. Also, please use social media to promote our programs in a positive way. The world is filled with negativity, so let’s take the high road and remain positive Stark County. Live Broadcasts Sponsorships and Reserved Football Seating Available: With the pandemic continuing to affect our lives, Stark County will again have live broadcasts of varsity volleyball, football and boys/girls basketball with announcers presenting football and basketball. In order to fund this initiative, we are seeking game sponsors. If your family or business is interested, please check out the criteria for Gold, Silver and Bronze sponsorships posted today on our Facebook and contact me at belliott@stark100.com or 309-695-6123 to participate in sponsorships. We also have our reserved “Red Chair” seating available for home football games. There are still Red Football seats available for purchase at the Gary Johnson Football Field in Wyoming. Cost is $50 each, if interested please contact the HS office. COVID-19 Health Update for August 29 – September 3: • 1 COVID-19 Positive Student Cases (SCES) • 1 Student close contact (SCES, entered into “Test to Stay” protocol) • 0 Staff Cases or Quarantines Principal’s Weekly Updates: A reminder to listen and read your weekly principal updates from Mrs. Bibb and Ms. McGann to prepare you and your children for the week ahead including the SCJSH Open House on Thursday and the full 2021 Homecoming week including event night, bonfire, parade, dance and more! As always, thank you for being the Pride and Excellence of Stark County. Bookshakalaka, take the on a rare….Sunday!!! #LevelUpRebelUp -Mr. Elliott",https://drive.google.com/file/d/11-dWmZiHll-pgfjFpHjZARrI7E7VR67n/view?usp=sharing,,,Parent COVID Consent To Testing SC100 Draft.pdf,,,,,-0.62
Klamath County School District,KlamathCountySchoolDistrict,1.40669E+15,EDUCATION_COMPANY,US,This is the official Facebook page of the Klamath County School Distirct (KCSD).,8/13/13 18:44,6154,6657,2021-09-03 00:15:33 EDT,9/3/21,0:15:33,Photo,77,58,8,9,0,0,1,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/1406688319550986/posts/3123794961173638,"More than 70 parents and community members joined Klamath County School District Superintendent Glen Szymoniak tonight (Sept. 2) on the lawn of Mazama High School for a discussion about schools and state mandates. The forum was followed by a question and answer session. As the event began, football players gathered on nearby Viking Field, warming up for an evening game. Klamath County Sheriff Chris Kaber was among the first to address the crowd, explaining he supported their right to peaceably protest but asking that those who wish to do so not disrupt the first day of school for students. Some parents wanted the school district to defy the state mask mandate, risking educators’ certifications as well as fines and loss of liability insurance. But others said it was an unacceptable risk to ask of teachers and administrators. (The state is requiring the wearing of masks inside all K-12 school buildings.) Janah Moorer, who will be a senior at Mazama when school starts next week, told the crowd she is ready to be back in the classroom fulltime after a year of distance learning and hybrid schedules. “I’m not a fan of masks, but I’m willing to make that sacrifice,” she said. For nearly 40 minutes, community members had the floor, asking questions about state mandates and how school will look for students this fall. Superintendent Glen Szymoniak then answered as many questions as time allowed. He also explained how the district will continue to advocate for local control, which would allow leaders to work with Klamath County Public Health to determine how best to handle COVID-19. Questions ranged from staffing, mask mandates and vaccination requirements for school staff to critical race theory (CRT is not part of the district’s curriculum). The school district is compiling the questions and answers and will post them on our website at www.kcsd.k12.or.us.:=:https://www.kcsd.k12.or.us/ As the meeting ended, the football game started and fans could be heard cheering. Szymoniak thanked parents and community members for taking the time to attend the town hall before joining Mazama Principal Jennifer Hawkins and heading to Viking Field to watch the students play. “We all care about our children and want our schools open,” he said. “I will always be accountable to you and listen to you. Now whether I can do everything you want? I can’t make that promise, but I can promise you that I’m going to provide you with a respectful environment so you can get your questions answered.”",https://www.facebook.com/KlamathCountySchoolDistrict/photos/a.1417462198473598/3123792704507197/?type=3,,,Photos from Klamath County School District's post,,,,,-1.1
PrescotteNews,eNewsAZ,1.16617E+14,NEWS_SITE,US,"Local, State, and National News, Politics for Prescott, Prescott Valley, Chino Valley, Dewey, Mayer, Arizona 

Founded in 2007, the recipient of multiple awards, including the Arizona Press Club Award, Prescott Unified School District, AZ Farm Bureau.",5/12/10 21:01,15144,16520,2021-08-31 16:18:13 EDT,8/31/21,16:18:13,Photo,7,2,2,0,0,0,3,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/116617135041809/posts/4263558953680919,"Former AG Tom Horne, Candidate for State Superintendent for Public Instruction, to Speak on Critical Race Theory | Prescott eNews https://bit.ly/3zCb0Jx",https://www.facebook.com/eNewsAZ/photos/a.184907864879402/4263558833680931/?type=3,,,,,,,,-3.71
Pathways in Technology Early College High School,PathwaysInTech,1.00064E+14,HIGH_SCHOOL,US,P-TECH is a new and very different type of school that brings together the best elements of high sch,2/2/11 20:49,2229,2359,2021-08-31 05:02:54 EDT,8/31/21,5:02:54,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/188958387795892/posts/6296065673751769,,https://clarion.causeaction.com/2021/08/31/p-tech-is-a-race-neutral-education-movement-the-counters-critical-race-theory-it-works-and-its-in-peril/,,,P-TECH Is a Race-Neutral Education Movement the Counters Critical Race Theory. It Works. And It’s in Peril.,"Michael Landsbaum hit bottom after his father lost his job and couldn’t pay rent, leaving the teenager homeless in Dallas. He slept on friends’ couches for months until he was rescued by an unlikel…",,,,-26
Canon City Schools Fremont RE-1,canoncityschoolsre1,2.396E+14,PUBLIC_SCHOOL,US,Canon City School District Fremont RE-1,5/15/12 3:44,3610,3896,2021-08-30 16:13:35 EDT,8/30/21,16:13:35,YouTube,38,25,5,8,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/239600186140492/posts/3762601983840277,"In this video, CCSD Superintendent of Schools George Welsh and Superintendent Designee Adam Hartman share a conversation about Critical Race Theory and its impact on the Cañon City School District. By watching, you will again in your understanding of what Critical Race Theory is, whether CCSD teaches it, and what CCSD is doing to support high-quality education for students steeped in fairness and kindness. https://www.youtube.com/watch?v=TVjzFSr68E8",https://www.youtube.com/watch?v=TVjzFSr68E8,,,Cañon City Schools and Critical Race Theory,"In this video, CCSD Superintendent of Schools George Welsh and Superintendent Designee Adam Hartman share a conversation about Critical Race Theory and its i...",,,,1.46
Salem-Keizer Public Schools,salemkeizerschools,1.00065E+14,PERSON,US,"At Salem-Keizer Public Schools, our vision is all students graduate and are prepared for a successfu",3/23/09 15:25,17461,19183,2021-08-26 14:08:59 EDT,8/26/21,14:08:59,Link,92,54,12,7,13,2,0,1,3,0,,-,0,0,0,N/A,https://www.facebook.com/60676476121/posts/10159937146166122,"Assistant Superintendent Iton Udosenata spoke with KGW-TV about the teaching of critical race theory. “What we really try to do is celebrate race and ethnic diversity within our schools,” Udosenata said. Learn more: https://www.kgw.com/article/news/education/salem-keizer-race-diversity/283-af34eb62-dc83-48b8-9a72-ae3b7188bdef?utm_campaign=snd-autopilot",https://www.kgw.com/article/news/education/salem-keizer-race-diversity/283-af34eb62-dc83-48b8-9a72-ae3b7188bdef?utm_campaign=snd-autopilot,,,Salem-Keizer Public Schools talks race and diversity in classrooms,"District leaders said curriculum does not include a deep dive into critical race theory, but topics may be influenced by the concept.",,,,2.09
