post_created_date,page_name,type,total_interactions,likes,comments,shares,love,wow,haha,sad,angry,care,message,url,nces_id,post_id,overperforming,followers_at_posting,state_combined,n_students_combined
7/6/21,Corpus Christi Independent School District,Status,241,96,70,31,36,0,4,1,1,2,"Corpus Christi ISD statement regarding critical race theory inquiries Corpus Christi ISD, along with school districts across the nation, has received inquiries regarding critical race theory and how it relates to our schools. We serve nearly 35,000 students with a variety of thoughts, beliefs, perspectives and experiences. We value each child and strive to provide a warm, welcoming environment for every employee, student and family. It is important to note that critical race theory is not part of our social studies curriculum and has never been part of social studies curriculum in Texas. Throughout CCISD, we promote a culture of acceptance, understanding and achievement for all students and families. Additionally, we provide culturally relevant teaching training for staff, and celebrate a variety of cultural holidays throughout the school year. As a district, we remain committed to continuous improvement so that all students have the same opportunities to attain the educational success they are capable of achieving. We also take our role as stewards of public funds seriously, and provide preK-12 education in accordance with state standards. As our community remains focused on the important work yet to be done in healing from the effects of the pandemic, including its effect on our students’ learning, we remind those contacting our schools and district offices that any communication with our staff should be made in the respectful manner that we consistently strive to model for our students. While courteous communication is always an expectation, treating each other with respect is key to our staff’s recovery from an extraordinarily challenging 2020-2021 school year. We look forward to continuing to serve our community and to welcoming students back to campus on Tuesday, Aug. 10.",https://www.facebook.com/102175829311/posts/10159528385579312/,4815270,102176000000,1.54,27850,TEXAS,34511
8/11/21,Hernando Schools,YouTube,194,80,28,45,39,0,2,0,0,0,"From HCSD Communications: SETTING THE RECORD STRAIGHT Last evening, several members of the public attended the School Board meeting and requested time to address the Board and Superintendent on the topic of Critical Race Theory. While NO schools in the Hernando School District teach Critical Race Theory, misinformation and unfounded claims on the topic continue to create concern. We encourage parents and members of the community to watch this clip of Superintendent Stratton addressing the comments made during the Public Comment portion of the meeting. https://youtu.be/J2CaQXSpOe0:=:https://www.youtube.com/watch?v=J2CaQXSpOe0&feature=youtu.be Thank you.",https://www.facebook.com/299729913567110/posts/1656146477925440/,1200810,299730000000000,4.31,13528,FLORIDA,22621
7/27/21,Colonial Heights Public Schools,Status,168,102,10,21,33,0,1,0,0,1,"Colonial Heights School Board clarifies policies COLONIAL HEIGHTS, Va. -- Over the past several weeks, citizens and parents in Colonial Heights and across Virginia have expressed concern about news they are hearing at a state and national level related to public schools. As members of the Colonial Heights School Board, we want to collectively assure the citizens of Colonial Heights that our schools continue to be committed to being welcoming and safe places where all students and staff are valued and respected. We embrace equity of opportunity for all students and staff as we work hard together to advance and support student learning and be the best we can be as a community. To be clear, Critical Race Theory is not included in the curriculum for Colonial Heights Public Schools and is not included in current state standards of learning. History and social studies must be studied honestly and accurately, but students are not judged by the color of their skin under any circumstances. We must all be accountable for our actions as individuals, correct wrongs where they exist, and work together united rather than divided for the good of our community. Likewise, Colonial Heights Public Schools has not changed its policies regarding transgender students. We do not discriminate in our schools and will continue to work with students needing support on an individual basis and respect their privacy, in an environment that is safe and respectful of all students. Having worked through the incredibly challenging past year of the pandemic, our schools and community are stronger than ever and there is nothing we cannot face working together. We value all our students and families and look forward to having everyone back for the coming school year in September.",https://www.facebook.com/534732829964507/posts/3807558146015276/,5100960,534733000000000,1.91,3463,VIRGINIA,2784
7/30/21,Conotton Valley Union Local School District,Status,166,87,15,49,14,0,0,0,0,1,"Dear Rocket Nation, As we get closer to our September 7th start date for the 2021-2022 school year, I would like to address a couple of HOT TOPIC issues with you! The first one deals with Masks. Conotton Valley School will not be mandating the wearing of masks. However, we will certainly welcome any student or staff to wear one if they choose. We will maintain our heightened sanitization and hand-washing protocols. Additionally, the Board of Education has purchased air purifiers for every classroom. We will continue to collaborate with the Carroll County Health Department to monitor any outbreaks. Let me assure you that your child’s safety is a priority, and we will do everything possible to provide a clean and safe atmosphere for the educational process to take place. Unless we are required to alter this plan by law, or the Ohio Department of Education, this will be our approach. The second topic is The Critical Race Theory. There is growing debate and controversy centering around the teaching of Critical Race Theory in America’s public schools. Conotton Valley Union Local School District is for ALL students and families, period. As we enter our sixth year of “Leader in Me,” the staff embeds the 7 habits and our Core Values of Honesty, Self-Discipline, Equity, Passion, Growth Mindset, Collaboration, Perseverance, and Responsibility into our daily instruction. We teach Ohio’s learning standards for each grade level and content area. We carefully select curriculum materials and resources to support learning and cause students to process information, engage in thoughtful discussion/debate and think critically for themselves. We empower teachers to utilize evidence-based instructional strategies to create optimum learning opportunities for all students. We create a welcoming, safe, and positive environment for all students, staff, and guests. We treat students and each other with dignity, respect, and kindness. CRT is not part of our curriculum and will not be instructed. Conotton Valley Union Local School District is always prepared for students to question and discuss current events openly and thoughtfully. “We are in control of our mission.” Todd Herman, Superintendent",https://www.facebook.com/825517197503949/posts/4012584802130490/,3904754,825517000000000,4.49,1772,OHIO,472
8/13/21,School District 49,YouTube,161,80,44,7,23,0,0,1,6,0,"The District 49 Board of Education voted 3-2 on Thursday approving a revised version of a resolution addressing Critical Race Theory and its inclusion in D49 classrooms. The resolution declares the district’s official opposition to principles of CRT. Highlights of the resolution include the following: D49 will not use principles of Critical Race Theory (as described below) as a curriculum for classroom instruction. With this statement, D49 reiterates that: ~ Neither schools, nor instructors, shall assign individuals or groups of students to participate in class or complete assignments based on their racial identity. ~ Schools shall not engage in racial bias or stereotyping. District leaders and staff shall not promote the following principles associated with Critical Race Theory in D49’s classroom curricula: ~ Race Essentialism: The assertion that race is the most important identity ~ Collectivism: The assertion that group identity is more important than individual identity ~ Accusatory characterization of individuals as oppressor or oppressed according to their race The resolution affirms D49’s commitment and expectation that teachers will rely on the Colorado Academic Standards as the authoritative source for the content of instruction on U.S. history and other social sciences. Video from the BOE meeting https://youtu.be/tIJCi2hKKr0?t=4560:=:https://www.youtube.com/watch?t=4560&v=tIJCi2hKKr0&feature=youtu.be 1:16:00 Open Forum Public Remarks 1:48:20 BOE Remarks 2:02:30 D49 Chief Officer Remarks 2:13:48 BOE President Remarks 2:17:50 BOE Vote PDF Version of the Resolution https://go.boarddocs.com/co/d49/Board.nsf/files/C5JNCP5F43D6/$file/CRT%20Resolution%20Simplified%20dtd%202021-0802%20v2.pdf",https://www.facebook.com/141517542533343/posts/4438843109467410/,0803870,100065000000000,3.22,16026,COLORADO,23984
12/16/21,Marshfield R-I School News,Status,152,102,4,25,21,0,0,0,0,0,"Recently, there have been questions regarding the district's curriculum and standards. We would like to reassure everyone that our district has an open-door to any and all curriculum and instruction related questions. Our building principals and central office leaders are always willing to meet and review our curriculum and instructional material. We welcome the input of our community and value your feedback. Please know that our teaching teams work tirelessly to develop high quality learning experiences for all of our students. With this in mind, we would also like to share the following: 1. All of our curriculum is based on the Missouri Learning Standards provided by the Department of Education (DESE). 2. Neither the Missouri Learning Standards or our curriculum address Critical Race Theory (CRT) or the 1619 Project. Additionally, we have also had questions about the district's Leader in Me program. Leader in Me is based on the book, The 7 Habits of Highly Effective People. This program works to promote leadership and life skills in our students and was started here in 2016. The district researched this program extensively prior to implementation and believes strongly in developing the character and academic skills of all of our students. There is no evidence of CRT in the program. Character education has long been a priority of the Marshfield School District.",https://www.facebook.com/245937932251091/posts/2129192957258903/,2920430,245938000000000,2.05,4445,MISSOURI,2993
11/8/21,South Middleton School District,Link,142,89,19,15,17,0,0,0,2,0,"SMSD Mr. Estep Letter to the SMSD Community November 8, 2021 Dear SMSD Community, On September 13, I stepped into the role of serving as SMSD’s Superintendent of Schools. I’m very happy to be here and believe my extensive leadership experience, which stretches back nearly 28 years, will be of real assistance in tackling some of the district’s systems issues which require immediate attention. I have spent the better portion of my first seven weeks trying to fill key leadership positions which were vacated this past spring and summer. Bit by bit, a new leadership team has been onboarding over the last month and our team is now fully intact. This was the first priority to tackle upon my entry, and I’m very pleased with the quality of candidates we have managed to bring into our learning community. During my short time here, we have found some specific operational systems utilized in business, payroll and human resources in recent years have either been inadequate, lacking appropriate checks and balances, or simply not following best practices for a nearly $40 million organization. To this end, I have spent a great deal of time digging deeper into how and why these systems were either not set up and administered properly, or fixing mistakes generated by a lack of a strategic approach to operations. This is all fixable, but it requires an initial investment of time, during which our new leadership team will thoroughly review files and systems, address and correct errors, and establish clear, redundant protocols and feedback loops for payroll, business and HR operations to run smoothly moving forward. Since my arrival, I have met with various staff members, become acquainted with the people with whom I’m working and have gotten to know the board. Because we have needed to onboard so many new people, I’m also spending time either directly mentoring individuals or reaching out to experienced individuals in neighboring districts or school support organizations to assist in advising some of our new hires. At recent board meetings, I’ve referred to this as triage work and I’ve advised the board that most of my first nine to 10 months on the job will center on this. I have also been asked to recruit someone into the district whom I can mentor to replace me at the end of the 2022-2023 school year, as I prepare to retire. I know some community members are concerned about whether the district intends to revisit the diversity and equity initiative which began last school year. Concerns were raised at a recent board meeting that the district had spent some $500,000 on diversity and equity curriculum and resources. Let me be clear: that DID NOT happen. Someone must have either been confused about a budget discussion on overall K-12 curriculum and professional development and textbook purchasing, or had their own agenda and spread false information. The bottom line is that SMSD has not expended $500,000 on diversity and equity initiatives. Regarding my stance on the formal JEDI initiative that began last school year, and was apparently tabled in the spring or early summer prior to my arrival, I ask that everyone refers to the priorities I’ve discussed in the first three paragraphs of this letter. In the immediate future, my focus is on fixing fundamental operations, preparing to develop a budget for next fiscal year, helping the district find its next superintendent, and working with my new leadership team to prioritize areas in need of immediate correction and fix them. After that, we will develop and implement long-term practices to ensure those areas function properly, well into the future. These areas of priority will occupy almost all of my time and the time of my core leadership team for the remainder of this school year. Finally, regarding curriculum content: public schools are governed by Chapter 4 of the PA School Code of 1949. Over the years, there have been periodic updates to Chapter 4, which outlines what must be included in district curricular content. I have been a superintendent for nearly 18 years, and at no time during that span do I recall any update to Chapter 4 requiring public schools to teach Critical Race Theory as part of our curriculum—though for many, many years, there have been historical references in our guidelines for including discussion and analysis of domestic unrest, and racial and ethnic tension. If CRT had been mandated, every superintendent and curriculum director in the state would have received formal notification of this change—that has not happened, nor is it ever likely to happen. Unfortunately, social media, media punditry and rabid politics have enabled susceptible individuals to be duped into linking any attempt to address concepts like diversity, racial bigotry, marginalization, or inequitable treatment of sub-groups to the so-called culture wars and government indoctrination of children. Here is a link to Chapter 4 on the PA Department of Education website: (truncated)",https://www.facebook.com/554909947987311/posts/2591667840978168/,4222050,554910000000000,2.12,2779,PENNSYLVANIA,2037
8/11/21,Ephrata School District,Photo,142,77,0,52,12,0,1,0,0,0,"Good morning Ephrata Families. Please take a moment to head to the Ephrata School District website and read the latest message from Superintendent Payne. In it, he addresses questions facing the District, like face coverings, sexual health and critical race theory. https://www.ephrataschools.org/cms/One.aspx?portalId=151973&pageId=30615314",https://www.facebook.com/112650217172425/posts/356306096140168/,530261002934,112650000000000,3.23,1185,WASHINGTON,15
8/9/21,School District 49,Photo,134,19,97,17,0,0,0,0,0,1,"Board of Education Regular Meeting Thursday, Aug. 12 Fantastic 49 at 6:00 p.m. Meeting begins at 6:30 p.m. TOPICS: Critical Race Theory, Possible MLO Ballot Measure, Operations Updates. More information, agenda and livestream at www.d49.org/BOE:=:https://www.d49.org/BOE",https://www.facebook.com/141517542533343/posts/4425776447440743/,0803870,100065000000000,2.48,16012,COLORADO,23984
6/30/21,Morgan County R-II School District,Link,131,61,10,38,21,0,0,0,0,1,"A Statement From The Superintendent of Schools, Dr. Steve Barnes: We understand that many rumors and misinformation have been circulating online about what the Morgan County R-II School District is teaching, and we’d like to address that so you know what is going on in our classrooms. The number one thing to know is that what has been taught at Morgan County R-II will continue to be taught at Morgan County R-II. To address possible misunderstandings: - We are not adopting Critical Race Theory (or something similar) and we are also not changing words used to sneak in a political agenda or a particular program under a different name. That is not who we are. We will always be transparent about what children are learning in the classrooms and always look for ways to do better when we can. Critical Race Theory (CRT) is not a part of the social studies or any other curriculum, or in the Missouri State Standards, and we have no plan on changing that. CRT is an analytical tool that is used at the university level for evaluating the legal system and is not appropriate for the K-12 curriculum. - We do not have any classes that teach students to be ethnically a certain way. (The example asked about has been – “teaching students to be less white”. That is not and will not be a class.) - We do not have any classes that teach students about their gender roles and responsibilities. (The example asked about has been – “teaching boys to be more effeminate”. That is not and will not be a class.) In summary, the curriculum your children have learned in the past is the same curriculum that will be in place next year. We are aligned directly with the Missouri State Standards, and if you ever have questions about our curriculum, please do not hesitate to call the Central Office at 573-378-4231 or contact your building principal. You can also view our curriculum by clicking on this link: https://www.versaillestigers.org/curriculum.",https://www.facebook.com/200680193332454/posts/4211209565612810/,2930840,200680000000000,5.7,3313,MISSOURI,1297
4/23/21,Magnolia Independent School District,Photo,129,61,23,33,10,0,1,0,0,1,KNOW THE FACTS: There is misinformation being shared across our district. Don't forget that early voting ends next Tuesday! Stop by the Magnolia Event Center and let your voice be heard in this School Board election.,https://www.facebook.com/741760999190933/posts/4240504295983235/,4828740,741761000000000,2.35,8576,TEXAS,13122
12/14/21,"Union Public Schools - Tulsa, OK",Link,127,64,8,3,49,0,0,0,2,1,"Union Public Schools adopts diversity, equity and inclusion policy Citing increasing diversity among the student body, Union Public Schools’ Board of Education unanimously adopted a new district-wide diversity, equity and inclusion policy Monday night. As approved, the new policy states that the district appreciates diversity of thought, values, perspectives and personhood and is “committed to procedures intended to support a diverse and equitable school community in an inclusive manner.” While presenting it to the school board Monday night, Superintendent Kirt Hartzler said the new policy is not an attempt to subvert state laws or introduce critical race theory into the classroom but is instead an affirmation of the district’s core values. “I don’t know why we wouldn’t want to consider this,” he said, noting that more than 60 languages are spoken by Union students. Continue: https://tulsaworld.com/news/local/education/union-public-schools-adopts-diversity-equity-and-inclusion-policy/article_09cd47a2-5c31-11ec-99cd-77a6acf22eca.html",https://www.facebook.com/177939366689/posts/10159368295096690/,4030600,177939000000,2.44,18252,OKLAHOMA,14959
8/13/21,Rock Ridge Public Schools,Photo,107,17,50,36,0,1,0,0,3,0,FYI:,https://www.facebook.com/104271464464956/posts/391191495772950/,2700466,104271000000000,1.45,2154,MINNESOTA,2556
10/14/21,"Westfield, MA Public Schools",Photo,102,45,13,17,25,0,0,0,0,2,"It’s hard to believe that it’s already eight weeks into the school year. While we hoped that this year would allow for a return to normal, that has unfortunately not been the case. The pandemic continues to challenge school districts with positive cases, contract tracing, and quarantine protocols. Schools around the country are also coping with a sharp increase in mental health concerns as well as teacher and staffing shortages. As the school year progresses, it has become clear that many students are struggling nationwide. The crisis in mental health has been growing for years, but the pandemic has accelerated it. Students are facing a number of challenges that are affecting their mental health, including feelings of isolation and anxiety, substance and alcohol use, and the unexpected deaths of loved ones from COVID-19. In response to this, our district has not only expanded our partnership with River Valley Counseling Center, but we have also added eight School Adjustment Counselor positions across our schools to help meet the needs of our students. We know that if our students are not in a healthy mental state, that they cannot adequately access our curriculum, which directly affects student achievement. The COVID pandemic has triggered a spike in teacher retirements and resignations. In addition to teacher vacancies, schools around the country are facing food supply shortages, and struggle to find enough bus drivers, paraprofessionals, custodians and cafeteria workers. Many districts also face shortages of substitute teachers, who are needed now more than ever to cover for teachers who are out sick or quarantined. Some schools have closed when too many positions could not be filled, while others grapple with higher than normal unfilled positions, leaving remaining staff overworked. The lack of qualified teachers in the US has worsened during the pandemic. Difficulties filling teacher openings continue to affect schools across the country. In South Dakota, one district started the school year with 120 teacher vacancies. In Texas, districts in Houston, Waco and other neighborhoods reported teacher vacancies in the hundreds as the school year began. Florida is short over 5000 teachers across the state. Our district still has over a dozen critical positions to fill and it’s already the middle of October. The teacher shortage didn't start with COVID-19. Educators have been leaving the profession for years for a variety of reasons, and the pandemic only exacerbated the situation. According to a June survey of 2,690 members of the National Education Association, 32% said the pandemic was likely to make them leave the profession earlier than expected. Over the last 18 months, teacher workloads have increased considerably along with stress levels. In May, a survey by the CDC Foundation reported that 27% of teachers reported depression and 37% reported anxiety. Further complicating the staff shortages is the fact that fewer students are majoring in education at college and universities. With election season upon us, it is my hope that candidates running for public office realize the actual issues facing our school system. As a community, we need to collaborate to solve the ongoing mental health crisis and lack of qualified school staffing. Schools nationwide have had to shut down classrooms because there just aren’t enough teachers. While this has not happened in Westfield yet, that day may come. Critics focusing on standardized test scores and outdated accountability data during a global pandemic is not helpful. Debating about masks or the myth that Critical Race Theory is being taught in our schools is equally nonproductive. If we truly hope to work together to create an environment where children can learn and thrive and be surrounded by positive role models and examples in their community, we need to acknowledge that our world is hurting, traumatized, and in need of healing. We also need to celebrate the good work that our educators, administrators, support staff and families do every day caring for our children.",https://www.facebook.com/546866082025395/posts/4707383669306928/,251263002064,546866000000000,3.78,4255,MASSACHUSETTS,191
6/16/21,"The Griffin-Spalding County School System, Griffin GA",Link,100,35,38,20,7,0,0,0,0,0,NA,https://www.facebook.com/191856137544050/posts/4310951968967759/,1302520,191856000000000,2.04,9371,GEORGIA,9667
8/26/21,Salem-Keizer Public Schools,Link,92,54,12,7,13,2,0,1,3,0,"Assistant Superintendent Iton Udosenata spoke with KGW-TV about the teaching of critical race theory. “What we really try to do is celebrate race and ethnic diversity within our schools,” Udosenata said. Learn more: https://www.kgw.com/article/news/education/salem-keizer-race-diversity/283-af34eb62-dc83-48b8-9a72-ae3b7188bdef?utm_campaign=snd-autopilot",https://www.facebook.com/60676476121/posts/10159937146166122/,4110820,100065000000000,2.09,19183,OREGON,39906
8/16/21,Rock Ridge Public Schools,Photo,89,43,28,17,0,0,0,1,0,0,Please take a moment to read the follow-up statement by Superintendent Noel Schmidt in regards to the topic of Critical Race Theory or CRT. Thank you. https://rrps.org/blog/superintendent-statement/,https://www.facebook.com/104271464464956/posts/393075945584505/,2700466,104271000000000,1.2,2173,MINNESOTA,2556
