page_name,user_name,facebook_id,page_category,page_admin_top_country,page_description,page_created,likes_at_posting,followers_at_posting,post_created,post_created_date,post_created_time,type,total_interactions,likes,comments,shares,love,wow,haha,sad,angry,care,video_share_status,is_video_owner,post_views,total_views,total_views_for_all_crossposts,video_length,url,message,link,final_link,image_text,link_text,description,sponsor_id,sponsor_name,sponsor_category,overperforming_score_weighted_likes_1x_shares_1x_comments_1x_love_1x_wow_1x_haha_1x_sad_1x_angry_1x_care_1x,message_contains_crt,message_contains_critical_race_theory
College Place Public Schools #250,CollegePlaceSchoolDistrict,296530940534353,CAMPUS_BUILDING,US,"College Place Public School educates a diverse population of over 1500 students in grade PK-12+. The District is comprised of: one high school, one middle school and one elementary school.",2014-10-24T17:59:34Z,1231,1420,2021-09-10 13:19:24 EDT,2021-09-10,13:19:24,Link,13,10,0,3,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/296530940534353/posts/1770460866474679,"District Position Statements: Masks, CRT, CCDEI, CSHE",https://www.cpps.org/article/532506?org=district,https://www.cpps.org/o/district/article/532506,NA,www.cpps.org:=:https://www.cpps.org/,NA,NA,NA,NA,0.68,TRUE,FALSE
McKinley Elementary School,FMSNM.McKinley,1746775118894838,PUBLIC_SERVICES_GOVERNMENT,US,Like our posts? Work at our school! View our district’s vacancies and apply here: https://fms.tedk12.com/hire/index.aspx,2016-09-14T20:21:59Z,462,476,2021-09-08 21:51:26 EDT,2021-09-08,21:51:26,Link,7,3,1,1,2,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/1746775118894838/posts/3109140139324989,NA,https://www.facebook.com/234050013364205/posts/3640499356052570/,NA,NA,This is a re-share of a post,"From Superintendent Dr. Eugene Schmidt – Farmington Municipal Schools (FMS) is aware of the conversations at the federal, state and local level about Critical Race Theory (CRT).  FMS does not provide instruction on Critical Race Theory and the School Board does not intend to bring forth any action to introduce CRT to our schools.

Read more: https://bit.ly/3DVhvKd:=:https://district.fms.k12.nm.us/about_us/news/superintendent_messages",NA,NA,NA,0.37,NA,NA
Mt. Edgecumbe High School,mehs.braves,659566327524266,HIGH_SCHOOL,US,Mt. Edgecumbe high school is a state-run boarding school providing quality education and opportunities for Alaska students.,2016-07-07T17:01:52Z,4820,5294,2021-09-08 19:40:36 EDT,2021-09-08,19:40:36,Status,23,15,0,5,3,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/659566327524266/posts/2052951368185748,"Juneau and Grace weekend Final Note-No spectators this weekend. We will livestream all games Friday, Sept 10 4:00 MEHS vs Grace Best of 3 @ MEHS 4:15 MEHS VS Juneau C Best of 3 crt 2 @MEHS 5:30 MEHS vs Juneau JV Best of 3 @MEHS 7 MEHS vs Juneau V Best of 5 @MEHS Saturday, Sept 11 9:30am MEHS VS Juneau JV Best of 3 @MEHS 7pm MEHS vs Grace Best of 5 @MEHS",NA,NA,NA,NA,NA,NA,NA,NA,-3.43,TRUE,FALSE
Tibbetts Middle School,FMSNM.Tibbetts,171766159893958,MIDDLE_SCHOOL,NA,View our district’s vacancies and apply here: https://fms.tedk12.com/hire/index.aspx,2016-09-14T20:03:27Z,696,741,2021-09-08 18:26:17 EDT,2021-09-08,18:26:17,Link,3,3,0,0,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/171766159893958/posts/1067080203695878,NA,https://www.facebook.com/234050013364205/posts/3640499356052570/,NA,NA,This is a re-share of a post,"From Superintendent Dr. Eugene Schmidt – Farmington Municipal Schools (FMS) is aware of the conversations at the federal, state and local level about Critical Race Theory (CRT).  FMS does not provide instruction on Critical Race Theory and the School Board does not intend to bring forth any action to introduce CRT to our schools.

Read more: https://bit.ly/3DVhvKd:=:https://district.fms.k12.nm.us/about_us/news/superintendent_messages",NA,NA,NA,-0.57,NA,NA
Farmington Municipal Schools,FMSNM,234050013364205,PUBLIC_SCHOOL,US,"Public K-12 school district located in the beautiful Four Corners region of the American Southwest.  Farmington, NM",2012-06-07T18:35:21Z,9542,10038,2021-09-08 17:20:39 EDT,2021-09-08,17:20:39,Status,451,214,74,77,74,1,1,1,3,6,NA,-,0,0,0,N/A,https://www.facebook.com/234050013364205/posts/3640499356052570,"From Superintendent Dr. Eugene Schmidt – Farmington Municipal Schools (FMS) is aware of the conversations at the federal, state and local level about Critical Race Theory (CRT). FMS does not provide instruction on Critical Race Theory and the School Board does not intend to bring forth any action to introduce CRT to our schools. Read more: https://bit.ly/3DVhvKd:=:https://district.fms.k12.nm.us/about_us/news/superintendent_messages",NA,NA,NA,NA,NA,NA,NA,NA,5.37,TRUE,TRUE
iQ Academy California- LA a networK12 school,iQCalifornia,359700374086300,SCHOOL,NA,"iQCA-LA uses the K¹² curriculum to offer CA students in grades K-12 an exceptional learning experience. Learn more at http://losangeles.iqacademyca.com/. 
",2012-04-30T20:52:09Z,501,586,2021-09-08 13:02:29 EDT,2021-09-08,13:02:29,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,10,10,0,00:00:59,https://www.facebook.com/359700374086300/posts/4444773642245599,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/iQCalifornia/videos/1855971264584180/,NA,NA,NA,NA,NA,NA,NA,-16,FALSE,TRUE
California Virtual Academies,CaliforniaVirtualAcademies,121952847822009,PUBLIC_SCHOOL,US,"The California Virtual Academies are a network of 9 full-time, tuition-free, online public schools for grades TK-12. Learn more at cava.k12.com. Alumni click here: http://ow.ly/rI4t50FcWx0",2010-04-29T05:36:19Z,8396,8064,2021-09-08 13:02:25 EDT,2021-09-08,13:02:25,Native Video,4,1,0,0,3,0,0,0,0,0,owned,Yes,117,117,0,00:00:59,https://www.facebook.com/121952847822009/posts/5127400177277226,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/CaliforniaVirtualAcademies/videos/188222883379889/,NA,NA,NA,NA,NA,NA,NA,-0.67,FALSE,TRUE
Louisiana Virtual Charter Academy at K12,LouisianaVirtualCharterAcademy,158178810919178,HIGH_SCHOOL,US,"The Louisiana Virtual Charter Academy is a full-time, tuition-free, online public charter school for grades K-12. Learn more at lavca.k12.com/. 
",2011-06-27T14:54:55Z,4386,4472,2021-09-08 13:02:22 EDT,2021-09-08,13:02:22,Native Video,3,0,2,1,0,0,0,0,0,0,owned,Yes,118,118,0,00:00:59,https://www.facebook.com/158178810919178/posts/6043190589084608,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/LouisianaVirtualCharterAcademy/videos/272029051428977/,NA,NA,NA,NA,NA,NA,NA,-0.67,FALSE,TRUE
Arizona Virtual Academy (AZVA) K¹²,ArizonaVirtualAcademy,181850941835932,ELEMENTARY_SCHOOL,NA,"Arizona Virtual Academy is an AdvancED accredited school that empowers students with a personalized educational experience. It serves students in grades K-12 at all academic levels from students below, at or above current grade level.",2011-01-13T21:35:05Z,4255,4269,2021-09-08 13:02:21 EDT,2021-09-08,13:02:21,Native Video,1,1,0,0,0,0,0,0,0,0,owned,Yes,53,53,0,00:00:59,https://www.facebook.com/181850941835932/posts/4587888521232130,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/ArizonaVirtualAcademy/videos/315531536991111/,NA,NA,NA,NA,NA,NA,NA,-0.88,FALSE,TRUE
Tennessee Virtual Academy at K12,TennesseeVirtualAcademy,246431088701835,EDUCATION_COMPANY,NA,"The Tennessee Virtual Academy is a full-time, tuition-free, online public school for grades K-8. Learn more at http://tnva.k12.com/.  
",2011-07-06T19:58:48Z,4380,4356,2021-09-08 13:02:18 EDT,2021-09-08,13:02:18,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,55,55,0,00:00:59,https://www.facebook.com/246431088701835/posts/4767306606614238,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/TennesseeVirtualAcademy/videos/1603475910043900/,NA,NA,NA,NA,NA,NA,NA,-14,FALSE,TRUE
Wisconsin Virtual Academy at K12,WisconsinVirtual,201147210002300,SCHOOL,NA,"The Wisconsin Virtual Academy is a full-time, tuition-free, online public school for grades K-12. Learn more at http://wiva.k12.com.  
",2012-04-23T19:27:54Z,2178,2270,2021-09-08 13:02:16 EDT,2021-09-08,13:02:16,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,57,57,0,00:00:59,https://www.facebook.com/201147210002300/posts/4216027388514242,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/WisconsinVirtual/videos/513752373296210/,NA,NA,NA,NA,NA,NA,NA,-12,FALSE,TRUE
Ohio Virtual Academy,Ohio.Virtual.Academy,144263858934453,PUBLIC_SCHOOL,US,Ohio Virtual Academy is a public online school serving students in grades K-12 residing in Ohio. Alumni click here: http://ow.ly/rI4t50FcWx0,2010-08-07T12:40:31Z,14340,13625,2021-09-08 13:02:14 EDT,2021-09-08,13:02:14,Native Video,1,1,0,0,0,0,0,0,0,0,owned,Yes,143,143,0,00:00:59,https://www.facebook.com/144263858934453/posts/4931251780235613,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/Ohio.Virtual.Academy/videos/867841817237695/,NA,NA,NA,NA,NA,NA,NA,-0.9,FALSE,TRUE
Colorado Preparatory Academy,ColoradoPreparatoryAcademy,172736759570993,PUBLIC_SCHOOL,US,"The Colorado Preparatory Academy is a full-time, tuition-free, online public school for grades K-12. Learn more at cpa.k12.com",2013-07-02T18:13:09Z,1460,1495,2021-09-08 13:02:13 EDT,2021-09-08,13:02:13,Native Video,1,1,0,0,0,0,0,0,0,0,owned,Yes,41,41,0,00:00:59,https://www.facebook.com/172736759570993/posts/1962077927303525,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/ColoradoPreparatoryAcademy/videos/378684753723538/,NA,NA,NA,NA,NA,NA,NA,-0.89,FALSE,TRUE
Highpoint Virtual Academy of Michigan,HighpointVirtual,599838323512226,SCHOOL,NA,"Highpoint Virtual Academy of Michigan (HVAM), an online public school authorized by the Mesick Consolidated Schools serves grades K-12. 
",2016-05-16T14:18:14Z,832,879,2021-09-08 13:02:08 EDT,2021-09-08,13:02:08,Native Video,1,1,0,0,0,0,0,0,0,0,owned,Yes,29,29,0,00:00:59,https://www.facebook.com/599838323512226/posts/1985120034984041,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/HighpointVirtual/videos/440240520661499/,NA,NA,NA,NA,NA,NA,NA,-0.8,FALSE,TRUE
North Carolina Virtual Academy,NorthCarolinaVirtualAcademy,1578119622427297,SCHOOL,US,"The North Carolina Virtual Academy is a full-time, tuition-free, online public charter school for grades K-11. Learn more at http://.ncva.k12.com",2015-02-02T17:03:17Z,4665,4789,2021-09-08 13:02:07 EDT,2021-09-08,13:02:07,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,75,75,0,00:00:59,https://www.facebook.com/1578119622427297/posts/3004021203170458,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/NorthCarolinaVirtualAcademy/videos/606274057201725/,NA,NA,NA,NA,NA,NA,NA,-16,FALSE,TRUE
Michigan Virtual Charter Academy at K12,MichiganVirtualCharterAcademy,354791804578230,HIGH_SCHOOL,NA,"Michigan Virtual Charter Academy is dedicated to providing an enriching learning experience tailored to each student's needs. The school encourages a collaborative partnership between teachers, staff, families, and students.",2012-04-30T20:49:14Z,2734,2785,2021-09-08 13:02:05 EDT,2021-09-08,13:02:05,Native Video,2,2,0,0,0,0,0,0,0,0,owned,Yes,39,39,0,00:00:59,https://www.facebook.com/354791804578230/posts/4484771821580187,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/MichiganVirtualCharterAcademy/videos/175045391313646/,NA,NA,NA,NA,NA,NA,NA,-0.75,FALSE,TRUE
Utah Virtual Academy,UtahVirtualAcademy,70669282448,SCHOOL,US,"The Utah Virtual Academy is a full-time, tuition-free, online public school for grades K-12. Learn more at utva.k12.com. Alumni click here: http://ow.ly/rI4t50FcWx0",2009-03-22T03:56:21Z,1576,1590,2021-09-08 13:02:02 EDT,2021-09-08,13:02:02,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,23,23,0,00:00:59,https://www.facebook.com/70669282448/posts/10158697168387449,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/UtahVirtualAcademy/videos/894102894860877/,NA,NA,NA,NA,NA,NA,NA,-8,FALSE,TRUE
Oklahoma Virtual Charter Academy at K12,OklahomaVirtualCharterAcademy,183129095080644,MIDDLE_SCHOOL,US,Oklahoma Virtual Charter Academy (OVCA) is a K-12 public charter school authorized by the Statewide Virtual Charter School Board. OVCA gives you and your family choice and flexibility in your child's education.,2011-07-08T19:23:39Z,3263,3281,2021-09-08 13:02:01 EDT,2021-09-08,13:02:01,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,28,28,0,00:00:59,https://www.facebook.com/183129095080644/posts/4441138629279648,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/OklahomaVirtualCharterAcademy/videos/2927988057528963/,NA,NA,NA,NA,NA,NA,NA,-10,FALSE,TRUE
Arkansas Virtual Academy at K12,ArkansasVirtualAcademy,205738772791463,PUBLIC_SCHOOL,US,"ARVA is a full-time, online, public, charter school in Arkansas. We serve grades K-12. Our goals is to provide the world-class K-12 curriculum for our students. Visit http://www.k12.com/ for more information. Alumni click here: http://ow.ly/rI4t50FcWx0",2011-04-26T16:55:12Z,4310,4358,2021-09-08 13:02:00 EDT,2021-09-08,13:02:00,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,60,60,0,00:00:59,https://www.facebook.com/205738772791463/posts/4661354833896479,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/ArkansasVirtualAcademy/videos/621842905470618/,NA,NA,NA,NA,NA,NA,NA,-14,FALSE,TRUE
Idaho Virtual Academy at K12,IdahoVirtualAcademy,126656534077547,ELEMENTARY_SCHOOL,US,"Idaho Virtual Academy and K12 ignite the minds of children to bring learning and innate possibility alive. Together, we are helping Idaho students in grades K–12 reach their true, personal potential. 
",2011-04-26T15:48:34Z,2250,2361,2021-09-08 13:01:59 EDT,2021-09-08,13:01:59,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,32,32,0,00:00:59,https://www.facebook.com/126656534077547/posts/4341330999276725,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/IdahoVirtualAcademy/videos/458089558598163/,NA,NA,NA,NA,NA,NA,NA,-12,FALSE,TRUE
Pikes Peak Online School,PikesPeakOnlineSchool,499425193538705,HIGH_SCHOOL,NA,"Pikes Peak Online School is a full-time, tuition-free, online public school for grades 9-12. Learn more at www.ppos.k12.com. 
",2015-03-20T18:31:54Z,283,321,2021-09-08 13:01:58 EDT,2021-09-08,13:01:58,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,5,5,0,00:00:59,https://www.facebook.com/499425193538705/posts/2089118204569388,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/PikesPeakOnlineSchool/videos/180729607437234/,NA,NA,NA,NA,NA,NA,NA,-6,FALSE,TRUE
Michigan Great Lakes Virtual Academy,MichiganGreatLakesVA,182251211962860,HIGH_SCHOOL,NA,Michigan Great Lakes Virtual Academy (MGLVA) is a full-time online public school for K–12 students. We're dedicated to inspiring and empowering students through an education experience tailored for each child. Alumni click here: http://ow.ly/rI4t50F,2013-10-11T14:39:32Z,1840,1866,2021-09-08 13:01:57 EDT,2021-09-08,13:01:57,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,43,43,0,00:00:59,https://www.facebook.com/182251211962860/posts/1763766280478004,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/MichiganGreatLakesVA/videos/552051649182009/,NA,NA,NA,NA,NA,NA,NA,-14,FALSE,TRUE
Hoosier Academy at Indianapolis,HoosierAcademies,143765375701316,PUBLIC_SCHOOL,US,"Hoosier Academies are a network of full-time, tuition-free, online public charter schools for grades K-8. Learn more at http://ha.k12.com.  
",2011-07-08T14:54:44Z,2269,2181,2021-09-08 13:01:55 EDT,2021-09-08,13:01:55,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,7,7,0,00:00:59,https://www.facebook.com/143765375701316/posts/4324496634294815,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/HoosierAcademies/videos/882905025936466/,NA,NA,NA,NA,NA,NA,NA,-4,FALSE,TRUE
Destinations Career Academy of Wisconsin,DestinationsCareerAcademyofWisconsin,1215409765139485,SCHOOL,NA,"A tuition free, online public school, Destinations provides the structure, support, and accountability your student needs to succeed. Alumni click here: http://ow.ly/rI4t50FcWx0",2016-01-08T18:39:22Z,303,338,2021-09-08 13:01:48 EDT,2021-09-08,13:01:48,Native Video,0,0,0,0,0,0,0,0,0,0,owned,Yes,6,6,0,00:00:59,https://www.facebook.com/1215409765139485/posts/6580285315318543,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/DestinationsCareerAcademyofWisconsin/videos/387808219508422/,NA,NA,NA,NA,NA,NA,NA,-2,FALSE,TRUE
Francis Howell School District,francishowellschools,708726049256854,PUBLIC_SCHOOL,US,Francis Howell School District encompasses over 150 square miles in the southeast corner of St. Charles County and is one of the largest districts in Mo.,2015-06-08T13:33:45Z,17718,18520,2021-09-08 09:39:27 EDT,2021-09-08,09:39:27,Live Video Scheduled,17,9,8,0,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/708726049256854/posts/252688153399107,NA,https://www.facebook.com/events/252688153399107/,NA,NA,Appliance & Electronics Recycling Event,"Francis Howell School District in partnership with Nilo-Tech E-Cycling presents the annual Appliance & Electronics Recycling Event. 

Acceptable items (working or not)*: 
air conditioners, answering machines, cameras, cell phones, computer monitors, copiers, dehumidifiers, dishwashers, dryers, DVDs, fans, fax machines, furnaces, gaming systems, hairdryers, hard drives, humidifiers, keyboards, kitchen appliances, laptops, lawn equipment, microwaves, printers, power tools, radios, refrigerators, remotes, satellite receivers, scanners, speakers, stereos, TVs, vacuum cleaners, VCRs, water heaters, washers. 


*Additional information:
- $5 disposal fee for CRT monitors
- hard drives are wiped or destroyed, $5 fee is charged if a certificate of  destruction is required 
- lawn and garden equipment must have oil and gas emptied
- TV disposal fees: $30 for TVs up to 26"", $50 for TVs over 27"", and $50 for any size rear-projection or console TVs",NA,NA,NA,-4.53,NA,NA
Stark County CUSD 100,SCCUSD100,322676618110440,PUBLIC_SCHOOL,US,Stark County CUSD #100 is consolidation of the former Unit District of Toulon/LaFayette and the former High School and Elementary Districts of Wyoming.,2016-10-13T17:49:00Z,2148,2421,2021-09-03 17:15:44 EDT,2021-09-03,17:15:44,Link,6,4,1,1,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/322676618110440/posts/1498302857214471,"Check out our Weekly Parent Update from Mr. Elliott #leveluprebelup #PrideandExcellence Good afternoon Rebels, This is your proud Superintendent, Mr. Elliott, with your weekly update for Friday September 3, 2021. Congratulations: Congratulations the Stark County Board of Education who has been selected for the 2021 IASB School Governance Recognition for Excellence in School Board Leadership. The SC Board of Education will be honored later this fall. We want to thank the current and former board leadership for the great accomplishment: Ann Orwig, Bruce West, Brian Rewerts, Dave Steward, Beth Rumbold, Matthew Nagode, Emily Holman and Erin Price. Sex Education and Critical Race Theory Legislation: In regards to recent Illinois Legislation for Sex Education Curriculum and political topic of the Critical Race theory, here is an update in regards to Stark County: 1) New Sex Education: Per the new legislation and ROE, the sex education changes are ONLY for school boards who want to opt into the new expanded curriculum. A school board may choose to stay with our current sex education curriculum. Currently, Stark County Board of Education will not pursue any sex education curriculum changes. 2). The Critical Race Theory is a post graduate level study, not mandated curriculum, that was created at Harvard University. With that stated, the most recent Illinois social studies/history legislation is an “opts school boards can create new courses that focus on Black Lives Matter, Black History, etc. The only requirement curriculum change is to ensure a level Asian American History is taught, which is already in our textbooks/curriculum. Parking: With feedback from the community, we will continue the tradition of allowing parking at home football games at Gary Johnson field. We ask that you enter by 6:30 pm to avoid traffic inside the gates for safety reasons and also allow all foot traffic to exit the stadium before moving your vehicles. Due to a water line repair, all spectators for tonight’s game will enter and pay at the north or south gate. The new middle gate is currently closed. COVID-19 Protocols and On-Site Testing: A reminder to view our COVID-19 protocols for contact tracing and quarantine/isolation posted on our website @stark100. We remind you that options 2-4 are only available if you follow the health departments guidelines of daily check-ins via text or app once placed into COVID isolation or healthy Quarantine. If these daily contacts with the Health Department are not made the time out of school will be 14 days. We are also offering on-site Binax-NOW rapid testing to staff and students in our nurses’ offices if you have a parent consent form on file and opt into Option 4, “Test to Stay” Protocols. Please contact your school for any questions. https://drive.google.com/file/d/11-dWmZiHll-pgfjFpHjZARrI7E7VR67n/view?usp=sharing SC Sportsmanship: As we enter the new year and full athletics seasons, we remind you that here at Stark County we take great pride in representing our schools and communities with good sportsmanship. Please avoid yelling or criticizing players, coaches, officials or programs during games and practices. Also, please use social media to promote our programs in a positive way. The world is filled with negativity, so let’s take the high road and remain positive Stark County. Live Broadcasts Sponsorships and Reserved Football Seating Available: With the pandemic continuing to affect our lives, Stark County will again have live broadcasts of varsity volleyball, football and boys/girls basketball with announcers presenting football and basketball. In order to fund this initiative, we are seeking game sponsors. If your family or business is interested, please check out the criteria for Gold, Silver and Bronze sponsorships posted today on our Facebook and contact me at belliott@stark100.com or 309-695-6123 to participate in sponsorships. We also have our reserved “Red Chair” seating available for home football games. There are still Red Football seats available for purchase at the Gary Johnson Football Field in Wyoming. Cost is $50 each, if interested please contact the HS office. COVID-19 Health Update for August 29 – September 3: • 1 COVID-19 Positive Student Cases (SCES) • 1 Student close contact (SCES, entered into “Test to Stay” protocol) • 0 Staff Cases or Quarantines Principal’s Weekly Updates: A reminder to listen and read your weekly principal updates from Mrs. Bibb and Ms. McGann to prepare you and your children for the week ahead including the SCJSH Open House on Thursday and the full 2021 Homecoming week including event night, bonfire, parade, dance and more! As always, thank you for being the Pride and Excellence of Stark County. Bookshakalaka, take the on a rare….Sunday!!! #LevelUpRebelUp -Mr. Elliott",https://drive.google.com/file/d/11-dWmZiHll-pgfjFpHjZARrI7E7VR67n/view?usp=sharing,NA,NA,Parent COVID Consent To Testing SC100 Draft.pdf,NA,NA,NA,NA,-0.6,FALSE,TRUE
PrescotteNews,eNewsAZ,116617135041809,NEWS_SITE,US,"Local, State, and National News, Politics for Prescott, Prescott Valley, Chino Valley, Dewey, Mayer, Arizona 

Founded in 2007, the recipient of multiple awards, including the Arizona Press Club Award, Prescott Unified School District, AZ Farm Bureau.",2010-05-12T21:01:01Z,15144,16520,2021-08-31 16:18:13 EDT,2021-08-31,16:18:13,Photo,7,2,2,0,0,0,3,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/116617135041809/posts/4263558953680919,"Former AG Tom Horne, Candidate for State Superintendent for Public Instruction, to Speak on Critical Race Theory | Prescott eNews https://bit.ly/3zCb0Jx",https://www.facebook.com/eNewsAZ/photos/a.184907864879402/4263558833680931/?type=3,NA,NA,NA,NA,NA,NA,NA,-3.71,FALSE,TRUE
Pathways in Technology Early College High School,PathwaysInTech,100063576491028,PERSON,US,P-TECH is a new and very different type of school that brings together the best elements of high sch,2011-02-02T20:49:42Z,2229,2359,2021-08-31 05:02:54 EDT,2021-08-31,05:02:54,Link,0,0,0,0,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/188958387795892/posts/6296065673751769,NA,https://clarion.causeaction.com/2021/08/31/p-tech-is-a-race-neutral-education-movement-the-counters-critical-race-theory-it-works-and-its-in-peril/,NA,NA,P-TECH Is a Race-Neutral Education Movement the Counters Critical Race Theory. It Works. And It’s in Peril.,"Michael Landsbaum hit bottom after his father lost his job and couldn’t pay rent, leaving the teenager homeless in Dallas. He slept on friends’ couches for months until he was rescued by an unlikel…",NA,NA,NA,-26,NA,NA
Canon City Schools Fremont RE-1,canoncityschoolsre1,239600186140492,PUBLIC_SCHOOL,US,Canon City School District Fremont RE-1,2012-05-15T03:44:38Z,3610,3896,2021-08-30 16:13:35 EDT,2021-08-30,16:13:35,YouTube,38,25,5,8,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/239600186140492/posts/3762601983840277,"In this video, CCSD Superintendent of Schools George Welsh and Superintendent Designee Adam Hartman share a conversation about Critical Race Theory and its impact on the Cañon City School District. By watching, you will again in your understanding of what Critical Race Theory is, whether CCSD teaches it, and what CCSD is doing to support high-quality education for students steeped in fairness and kindness. https://www.youtube.com/watch?v=TVjzFSr68E8",https://www.youtube.com/watch?v=TVjzFSr68E8,NA,NA,Cañon City Schools and Critical Race Theory,"In this video, CCSD Superintendent of Schools George Welsh and Superintendent Designee Adam Hartman share a conversation about Critical Race Theory and its i...",NA,NA,NA,1.46,FALSE,TRUE
